draw,incremental_cost,incremental_qaly,incremental_life_years,icer,nmb_50000,nmb_150000,annual_drug_cost_cad,treatment_exposure_factor,utility_gain_per_pct_weight_loss,annual_diabetes_incidence,diabetes_rr_semaglutide,annual_diabetes_cost_cad,diabetes_utility_decrement
3076,9121.932865082654,0.02165064566912278,0.0011681775229241964,421323.82583360834,-8039.400581626514,-5874.336014714237,4253.77,0.7142373325999289,0.0005324086062689716,0.017772448347816345,0.95,3200.0,0.030940500355358135
3077,9048.713054985132,0.03112447066106583,0.011420015623286872,290726.64892914414,-7492.4895219318405,-4380.042455825257,4253.77,0.7577266336681717,0.0003923806645801126,0.01708606745055811,0.6769156473146117,3200.0,0.03545305690249086
3078,8675.620024422036,0.03041482716973931,0.004152519585694847,285243.1143535706,-7154.878665935071,-4113.39594896114,4253.77,0.6942750382119945,0.0006084152209185022,0.02173344534520454,0.8423259753053168,1012.9423783185731,0.024656302673116488
3079,11164.401873172286,0.049593821402073246,0.02441137820376227,225116.789905316,-8684.710803068625,-3725.3286628612996,4922.022150388302,0.7756192791201402,0.0007239506913548317,0.016073797644915785,0.6641770291479226,1243.9802923353575,0.03084777839241918
3080,10269.438555984434,0.04791400090632081,0.0068180969846558526,214330.6416022898,-7873.738510668394,-3082.3384200363125,5008.642751454326,0.7282338356936632,0.000940660794638958,0.027061326551994273,0.7672869664460454,2645.9817326567368,0.03350147029313049
3081,12698.909138206793,0.05846747927343543,0.013083644935392158,217196.1113428147,-9775.535174535022,-3928.787247191478,5199.05,0.8129581681670252,0.0008731127865788902,0.015177076946677982,0.7009777155877052,1893.481977171686,0.07823414439114838
3082,8500.106426087415,0.029033510156626363,0.01175654035048268,292768.8171437797,-7048.430918256097,-4145.079902593461,4253.77,0.6797844878263104,0.0006071153822334052,0.01554100874284992,0.8456438781949448,2714.562917601522,0.03867825214164335
3083,10045.696853768193,0.049510005944899405,0.013561400586940664,202902.3560398727,-7570.196556523223,-2619.1959620332827,5063.8341855419185,0.6854036060453791,0.0009161643691552113,0.028827806315894433,0.815066140665401,1755.1381481150147,0.04037621363156015
3084,10065.527647305733,0.05304884224510786,0.014000365722569796,189740.76004898996,-7413.08553505034,-2108.2013105395536,4944.3564028519695,0.727388878413928,0.0007311611502013184,0.029013475336305626,0.641029418119923,1679.4187461053696,0.04136159189772496
3085,9791.4307886868,0.06211620918643135,0.02170410198854711,157630.84896728754,-6685.620329365232,-473.9994107220973,4253.77,0.7935780725321554,0.0008007432046166403,0.026691115934766817,0.6480907437261039,1548.8992736177154,0.050284221667890795
3086,10364.577664929815,0.0500281210366289,0.01856394855503396,207175.0337643347,-7863.17161309837,-2860.3595094354796,4615.251540783312,0.7761612064471286,0.0004989949563899827,0.026213236259181764,0.6542682722083472,1692.0060895407894,0.049746666694775704
3087,7396.091217990969,0.056337075296294614,0.02442525158346598,131282.8395704351,-4579.237453176238,1054.4700764532236,4253.77,0.6047341366858553,0.0008425950167303368,0.018685532199315937,0.7054604626496876,1234.4694097935965,0.036576160089955435
3088,8843.096347162753,0.03750937516436892,0.009928015142310898,235756.96231706435,-6967.627588944307,-3216.6900725074147,4713.08625249403,0.6441078130054252,0.0005877970387305637,0.04,0.8604125294155884,1033.190501002247,0.038499051060765475
3089,10371.441299611253,0.050940964741801764,0.017076580154672172,203597.26895985793,-7824.393062521165,-2730.296588340989,5147.5688861565195,0.6826053054354687,0.000843289105421597,0.020229450415396616,0.8377956370466468,1415.330700606324,0.032184385674182706
3090,9108.481393616094,0.04856924092974779,0.014346803354158055,187536.00466581126,-6680.019347128704,-1823.0952541539245,4682.629738583796,0.6598386225401713,0.0004757972917365211,0.03830599327437404,0.7914249341386844,1017.9357261577697,0.07366175914325733
3091,8448.819270570268,0.06844698969711871,0.029805752640669425,123435.95106164212,-5026.469785714333,1818.2291839975387,4350.722715449363,0.6603486829487822,0.0007477631383345195,0.02849574882302666,0.6831876869935896,1006.0616331743477,0.05210021834373796
3092,10729.752761520667,0.03249854033035504,0.009750423087869109,330161.06731103285,-9104.825745002916,-5854.9717119674115,5153.688389065895,0.7136946023810086,0.0006538417778550858,0.022058811064654404,0.8396587892215029,1287.1135773149576,0.02
