price_reduction_pct,additional_non_diabetes_qaly_multiplier,total_incremental_qaly,modeled_incremental_qaly,incremental_cost,nmb_50000,nmb_150000,cost_effective_at_50000,cost_effective_at_150000
20,1.8,0.12673182721552081,0.045261366862686,7918.3421182409,-1581.7507574648598,11091.431964087224,0,1
20,1.9,0.1312579639017894,0.045261366862686,7918.3421182409,-1355.4439231514307,11770.352467027511,0,1
20,2.0,0.135784100588058,0.045261366862686,7918.3421182409,-1129.1370888379997,12449.272969967802,0,1
20,2.1,0.14031023727432662,0.045261366862686,7918.3421182409,-902.8302545245688,13128.193472908093,0,1
20,2.2,0.1448363739605952,0.045261366862686,7918.3421182409,-676.5234202111396,13807.11397584838,0,1
20,2.3,0.14936251064686382,0.045261366862686,7918.3421182409,-450.2165858977096,14486.034478788672,0,1
20,2.4,0.1538886473331324,0.045261366862686,7918.3421182409,-223.90975158428046,15164.954981728959,0,1
20,2.5,0.158414784019401,0.045261366862686,7918.3421182409,2.3970827291504975,15843.87548466925,1,1
20,2.6,0.16294092070566962,0.045261366862686,7918.3421182409,228.70391704258054,16522.795987609545,1,1
20,2.7,0.1674670573919382,0.045261366862686,7918.3421182409,455.0107513560106,17201.716490549832,1,1
20,2.8,0.17199319407820682,0.045261366862686,7918.3421182409,681.3175856694415,17880.636993490123,1,1
20,2.9,0.1765193307644754,0.045261366862686,7918.3421182409,907.6244199828707,18559.55749643041,1,1
20,3.0,0.181045467450744,0.045261366862686,7918.3421182409,1133.9312542962998,19238.4779993707,1,1
20,3.1,0.1855716041370126,0.045261366862686,7918.3421182409,1360.238088609729,19917.39850231099,1,1
20,3.2,0.1900977408232812,0.045261366862686,7918.3421182409,1586.54492292316,20596.31900525128,1,1
20,3.3,0.19462387750954982,0.045261366862686,7918.3421182409,1812.8517572365909,21275.23950819157,1,1
20,3.4,0.19915001419581843,0.045261366862686,7918.3421182409,2039.1585915500218,21954.160011131866,1,1
20,3.5,0.20367615088208701,0.045261366862686,7918.3421182409,2265.465425863451,22633.080514072153,1,1
20,3.6,0.2082022875683556,0.045261366862686,7918.3421182409,2491.77226017688,23312.00101701244,1,1
20,3.7,0.2127284242546242,0.045261366862686,7918.3421182409,2718.079094490311,23990.92151995273,1,1
20,3.8,0.21725456094089282,0.045261366862686,7918.3421182409,2944.38592880374,24669.842022893023,1,1
20,3.9,0.22178069762716143,0.045261366862686,7918.3421182409,3170.692763117171,25348.762525833314,1,1
20,4.0,0.22630683431343002,0.045261366862686,7918.3421182409,3396.9995974306003,26027.6830287736,1,1
25,0.0,0.045261366862686,0.045261366862686,7419.126488367681,-5156.058145233381,-629.9214589647809,0,0
25,0.1,0.04978750354895461,0.045261366862686,7419.126488367681,-4929.751310919951,48.999043975510176,0,1
25,0.2,0.054313640235223205,0.045261366862686,7419.126488367681,-4703.444476606521,727.9195469157994,0,1
25,0.3,0.0588397769214918,0.045261366862686,7419.126488367681,-4477.137642293092,1406.8400498560895,0,1
25,0.4,0.06336591360776041,0.045261366862686,7419.126488367681,-4250.830807979661,2085.7605527963806,0,1
25,0.5,0.067892050294029,0.045261366862686,7419.126488367681,-4024.523973666231,2764.68105573667,0,1
25,0.6,0.0724181869802976,0.045261366862686,7419.126488367681,-3798.217139352801,3443.601558676959,0,1
25,0.7,0.0769443236665662,0.045261366862686,7419.126488367681,-3571.9103050393715,4122.522061617248,0,1
25,0.8,0.08147046035283481,0.045261366862686,7419.126488367681,-3345.603470725941,4801.442564557541,0,1
25,0.9,0.08599659703910341,0.045261366862686,7419.126488367681,-3119.2966364125105,5480.36306749783,0,1
25,1.0,0.090522733725372,0.045261366862686,7419.126488367681,-2892.9898020990813,6159.28357043812,0,1
25,1.1,0.0950488704116406,0.045261366862686,7419.126488367681,-2666.6829677856513,6838.204073378409,0,1
25,1.2,0.09957500709790922,0.045261366862686,7419.126488367681,-2440.3761334722203,7517.124576318702,0,1
25,1.3,0.1041011437841778,0.045261366862686,7419.126488367681,-2214.069299158791,8196.045079258989,0,1
25,1.4,0.10862728047044641,0.045261366862686,7419.126488367681,-1987.7624648453611,8874.96558219928,0,1
25,1.5,0.11315341715671501,0.045261366862686,7419.126488367681,-1761.455630531931,9553.88608513957,0,1
25,1.6,0.1176795538429836,0.045261366862686,7419.126488367681,-1535.148796218501,10232.80658807986,0,1
25,1.7,0.12220569052925222,0.045261366862686,7419.126488367681,-1308.84196190507,10911.727091020151,0,1
25,1.8,0.12673182721552081,0.045261366862686,7419.126488367681,-1082.535127591641,11590.647593960442,0,1
25,1.9,0.1312579639017894,0.045261366862686,7419.126488367681,-856.2282932782118,12269.56809690073,0,1
25,2.0,0.135784100588058,0.045261366862686,7419.126488367681,-629.9214589647809,12948.488599841021,0,1
25,2.1,0.14031023727432662,0.045261366862686,7419.126488367681,-403.6146246513499,13627.409102781312,0,1
25,2.2,0.1448363739605952,0.045261366862686,7419.126488367681,-177.30779033792078,14306.3296057216,0,1
25,2.3,0.14936251064686382,0.045261366862686,7419.126488367681,48.99904397550927,14985.25010866189,1,1
25,2.4,0.1538886473331324,0.045261366862686,7419.126488367681,275.3058782889384,15664.170611602178,1,1
25,2.5,0.158414784019401,0.045261366862686,7419.126488367681,501.61271260236936,16343.091114542469,1,1
25,2.6,0.16294092070566962,0.045261366862686,7419.126488367681,727.9195469157994,17022.011617482764,1,1
25,2.7,0.1674670573919382,0.045261366862686,7419.126488367681,954.2263812292294,17700.93212042305,1,1
25,2.8,0.17199319407820682,0.045261366862686,7419.126488367681,1180.5332155426604,18379.852623363342,1,1
25,2.9,0.1765193307644754,0.045261366862686,7419.126488367681,1406.8400498560895,19058.77312630363,1,1
25,3.0,0.181045467450744,0.045261366862686,7419.126488367681,1633.1468841695187,19737.69362924392,1,1
