draw,incremental_qaly,incremental_cost,nmb_50000,nmb_150000
62,0.0374032499700192,8711.951440866826,-6841.788942365865,-3101.4639453639447
63,0.029613531584423924,9968.169575689291,-8487.492996468096,-5526.139838025702
64,0.03811473773919616,9685.922478794837,-7780.185591835029,-3968.711817915413
65,0.0430019305952456,8850.84224778021,-6700.745718017931,-2400.5526584933714
66,0.028849049640054858,11610.89607080285,-10168.443588800106,-7283.538624794621
67,0.027765747382229478,8929.804201533205,-7541.516832421731,-4764.942094198783
68,0.048813379560769476,9550.04240599068,-7109.373427952206,-2228.0354718752587
69,0.03612695875134975,11034.739917617837,-9228.39198005035,-5615.696104915375
70,0.030418070995370527,8670.999607021513,-7150.096057252987,-4108.288957715934
71,0.04169164134481207,10085.696628328438,-8001.114561087835,-3831.950426606628
72,0.032534114498961486,9457.704979134363,-7830.999254186289,-4577.58780429014
73,0.05461500716245027,9640.448092075876,-6909.697733953362,-1448.197017708335
74,0.040165053300249554,12318.229331915652,-10309.976666903174,-6293.4713368782195
75,0.0588774918024626,8678.62174147119,-5734.74715134806,153.00202889819957
76,0.04813392903914604,10717.925104962806,-8311.228653005503,-3497.8357490908993
77,0.02967526885583993,9778.999248382815,-8295.235805590819,-5327.708920006826
78,0.031922570287797214,8056.756318428803,-6460.6278040389425,-3268.370775259221
79,0.0412216227131772,10399.340531959911,-8338.259396301051,-4216.097124983332
80,0.054951592009484074,8924.292795994745,-6176.7131955205405,-681.5539945721339
81,0.050206439392940894,9158.74735962988,-6648.425389982836,-1627.7814506887462
82,0.043255172198570335,12003.151349399694,-9840.392739471177,-5514.875519614143
83,0.04530960263169703,10586.646270879497,-8321.166139294644,-3790.205876124942
84,0.031147832226171346,10989.950815071197,-9432.55920376263,-6317.775981145495
85,0.037705292653733125,9743.0387320793,-7857.774099392644,-4087.2448340193314
86,0.04694633943929105,9776.989732144248,-7429.672760179696,-2735.0388162505897
87,0.03083701462470856,8591.850330161098,-7049.99959892567,-3966.298136454814
88,0.05904334516975496,9722.297787022362,-6770.130528534614,-865.7960115591195
89,0.040824349149787054,9171.350450529404,-7130.132993040052,-3047.6980780613458
90,0.03478273633542628,11098.27496215259,-9359.138145381277,-5880.864511838649
91,0.06434900620906703,11563.258122892537,-8345.807812439187,-1910.907191532484
92,0.042889460745278996,10447.879136259067,-8303.406098995118,-4014.4600244672183
93,0.08219972933670405,9081.885474792809,-4971.899007957606,3248.073925712799
94,0.046562807901608494,11132.479450353732,-8804.339055273307,-4148.058265112459
95,0.032400658562067974,9300.776212836197,-7680.743284732798,-4440.677428526002
96,0.06405600224944763,10077.443795678755,-6874.643683206374,-469.0434582616108
97,0.04494421367423129,10206.667410867061,-7959.456727155497,-3465.0353597323674
98,0.05083788717751503,10884.655844271838,-8342.761485396086,-3258.9727676445837
99,0.07541432743363785,9874.03735460764,-6103.3209829257485,1438.111760438036
100,0.05781845883623049,9865.629675326592,-6974.706733515068,-1192.8608498920185
101,0.06113688960897434,9897.040402229868,-6840.195921781151,-726.5069608837166
102,0.03527863834323952,9635.563525900401,-7871.631608738425,-4343.767774414473
103,0.07075146260870113,10764.126189895955,-7226.553059460898,-151.4067985907841
104,0.05189902827373061,8647.772897037488,-6052.821483350957,-862.9186559778973
105,0.048150735006732504,10818.549563771036,-8411.01281343441,-3595.93931276116
106,0.036397751026491676,8816.981065469106,-6997.0935141445225,-3357.3184114953547
107,0.02486695988362797,9962.378993159567,-8719.030998978169,-6232.335010615372
108,0.0709847345351271,9135.074033783214,-5585.837307026859,1512.636146485851
109,0.02942780106345566,10038.411589602174,-8567.02153642939,-5624.2414300838245
110,0.05770662060866982,11365.08841980523,-8479.757389371738,-2709.0953285047563
111,0.05905714963031272,10874.240532550251,-7921.383051034615,-2015.6680880033437
112,0.030914534462709753,9906.078741301884,-8360.352018166397,-5268.898571895421
113,0.0637588175050503,8623.8295748399,-5435.8886995873845,939.9930509176465
114,0.037742878840024474,10362.50430304728,-8475.360361046058,-4701.07247704361
115,0.061763356410061476,9389.543988684052,-6301.376168180978,-125.04052717483137
116,0.03640113410080659,12098.113287000084,-10278.056581959754,-6637.943171879096
117,0.05512642769922138,9354.745237385927,-6598.423852424858,-1085.781082502719
118,0.03850106327444536,11976.115073930934,-10051.061910208666,-6200.955582764131
119,0.06253318155313892,9130.996480306261,-6004.337402649315,248.98075266457636
120,0.029951087161343537,9401.058754555319,-7903.504396488142,-4908.3956803537885
121,0.05014741401838663,10347.498488653833,-7840.127787734502,-2825.3863858958393
122,0.062199266879513715,12205.821200628963,-9095.857856653278,-2875.9311687019053
123,0.07207250547022781,9487.308536996215,-5883.683263484825,1323.5672835379555
124,0.04236778370620087,8795.487848565554,-6677.0986632555105,-2440.3202926354234
125,0.05466162500575322,9792.688856915825,-7059.607606628164,-1593.4451060528427
126,0.039224634802014435,9590.388900088543,-7629.157159987821,-3706.6936797863773
127,0.023917976469839175,9911.26102594175,-8715.362202449793,-6323.564555465875
128,0.027746871451331145,9263.420584117455,-7876.0770115508985,-5101.389866417783
129,0.04317953698561894,9939.163070047094,-7780.186220766147,-3462.2325222042537
130,0.03443184911061081,9298.162528794262,-7576.5700732637215,-4133.3851622026405
131,0.046018293905991214,12203.975991974165,-9903.061296674605,-5301.231906075483
132,0.06820122305703791,7986.851021962517,-4576.789869110622,2243.3324365931694
133,0.06548071980891024,12086.38153659988,-8812.345546154367,-2264.2735652633437
134,0.027951975069353097,9808.334726542831,-8410.735973075176,-5615.538466139867
135,0.061692872831365264,10555.816633184437,-7471.172991616173,-1301.8857084796473
136,0.03352674745609008,10486.563714546624,-8810.22634174212,-5457.551596133113
137,0.03653737716150829,9746.179608959592,-7919.310750884178,-4265.573034733348
138,0.03867591312781826,8806.592584634654,-6872.796928243742,-3005.205615461915
139,0.04826989729718534,9082.425054331658,-6668.93018947239,-1841.9404597538569
140,0.03693423705106014,9743.116457313945,-7896.404604760938,-4202.9808996549245
141,0.035572283006064964,9964.52140940453,-8185.907259101281,-4628.678958494785
142,0.07494773079843853,8291.310893748841,-4543.924353826915,2950.8487260169386
143,0.046910154042432595,6865.575079352262,-4520.067377230633,170.94802701262688
144,0.05584809740870611,7925.12751746574,-5132.722647030435,452.08709384017675
